year,cpi,inflation_factor_2024
2008,74.2,2.7762803234501345
2009,82.2,2.506082725060827
2010,92.0,2.239130434782609
2011,100.4,2.051792828685259
2012,110.0,1.8727272727272728
2013,120.6,1.7081260364842454
2014,128.4,1.6043613707165107
2015,134.9,1.5270570793180134
2016,141.6,1.4548022598870056
2017,146.4,1.407103825136612
2018,151.7,1.3579433091628215
2019,156.4,1.3171355498721227
2020,166.5,1.2372372372372373
2021,175.3,1.175128351397604
2022,187.0,1.1016042780748663
2023,197.2,1.0446247464503042
2024,206.0,1.0
2025,214.0,0.9626168224299065
