year,runs_per_wicket,wicket_coef,wicket_se,n_innings,runs_per_win,median_margin,n_matches
2008,5.696122662868857,-5.696122662868857,0.9213252774683228,116,15.39655172413793,3.5,58
2009,4.940785236380674,-4.940785236380674,0.7970024285834035,112,16.857142857142858,4.0,56
2010,5.84259835588339,-5.84259835588339,0.8394429856094682,118,17.661016949152543,5.0,59
2011,5.502528527901887,-5.502528527901887,0.7481616229773826,144,17.305555555555557,4.5,72
2012,5.379569702014734,-5.379569702014734,0.801881293089194,148,14.283783783783784,4.0,74
2013,6.553348868055968,-6.553348868055968,0.7056903544365924,148,17.93243243243243,4.0,74
2014,5.562814288522172,-5.562814288522172,0.9763737646835776,118,14.016949152542374,4.0,59
2015,5.233794069748263,-5.233794069748263,0.8823591673147161,112,18.232142857142858,6.0,56
2016,6.0609424388377615,-6.0609424388377615,0.919036913332703,120,13.766666666666667,3.0,60
2017,7.419518946823594,-7.419518946823594,0.7777288061931253,116,16.25862068965517,4.5,58
2018,5.220202054276392,-5.220202054276392,0.8775864112158189,120,15.716666666666667,4.0,60
2019,6.229165140424294,-6.229165140424294,0.9903687461519614,114,13.035087719298245,3.0,57
2020,5.939573514397358,-5.939573514397358,0.8876199814426157,112,20.321428571428573,6.0,56
2021,5.432614241239538,-5.432614241239538,1.091097169874472,118,11.322033898305085,3.0,59
2022,4.998884520961491,-4.998884520961491,0.7257999505099009,148,15.364864864864865,5.5,74
2023,7.323805714702323,-7.323805714702323,0.8797652188784054,146,18.671232876712327,6.0,73
